"address","Apart","gu","dong","long","lat","distance","place","lon","lat"
"가로공원로61길 20","NEW SK 아파트","양천구","신월동",126.8264663,37.53736116,139.309852981994,"서울특별시 양천구 신월동 51-9 메디힐병원",126.8280387,37.537254
"가로공원로77길 27","대성3,4호(379-58,나동)","강서구","화곡동",126.8384181,37.53811328,176.953819805918,"서울특별시 강서구 화곡동 377-8 나누리강서병원",126.8366869,37.5373118
"가마산로 231","보광","구로구","구로동",126.8864331,37.49448809,263.230863832745,"서울특별시 구로구 구로동 329-51 고대구로병원어린이집",126.885731,37.49219
"가마산로 268","대림역와이즈플레이스","구로구","구로동",126.8902327,37.49571957,558.986854749407,"서울특별시 구로구 구로동 329-51 고대구로병원어린이집",126.885731,37.49219
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,676.171814916632,"서울특별시 구로구 구로동 329-51 고대구로병원어린이집",126.885731,37.49219
"가마산로 283","성호메이플라워멤버스빌","구로구","구로동",126.8914794,37.4968764,654.236333146561,"서울특별시 영등포구 대림동 782-3 명지춘혜병원",126.8971012,37.5007036
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,654.537068058226,"서울특별시 영등포구 대림동 782-3 명지춘혜병원",126.8971012,37.5007036
"가마산로 286","SR친오애","구로구","구로동",126.8920682,37.49658999,638.18206516324,"서울특별시 영등포구 대림동 782-3 명지춘혜병원",126.8971012,37.5007036
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,388.734663941393,"서울특별시 영등포구 대림동 782-3 명지춘혜병원",126.8971012,37.5007036
"가마산로 442","래미안 영등포 프레비뉴","영등포구","신길동",126.9059756,37.50496753,916.251148955011,"서울특별시 영등포구 대림동 782-3 명지춘혜병원",126.8971012,37.5007036
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,1147.69318723935,"서울특별시 영등포구 대림동 782-3 명지춘혜병원",126.8971012,37.5007036
"가마산로 575","한성","영등포구","신길동",126.9202908,37.50427688,874.883514503804,"서울특별시 영등포구 신길동 451-2 성애병원",126.9223932,37.5119571
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1055.9841620657,"서울특별시 구로구 구로동 80 고려대부속구로병원",126.8849478,37.4922173
"가마산로 97","현대로얄","구로구","구로동",126.8770342,37.48621962,966.624770484014,"서울특별시 구로구 구로동 80 고려대부속구로병원",126.8849478,37.4922173
"가마산로19길 30","일동행복세상","구로구","구로동",126.8846034,37.49452787,259.003930336953,"서울특별시 구로구 구로동 80 고려대부속구로병원",126.8849478,37.4922173
"가마산로20다길 45","골드마인(나동)","구로구","구로동",126.8887713,37.49278258,276.516831483602,"서울특별시 구로구 구로동 329-51 고대구로병원어린이집",126.885731,37.49219
"가마산로20다길 46","다울숲","구로구","구로동",126.8887219,37.49262269,268.525544951986,"서울특별시 구로구 구로동 329-51 고대구로병원어린이집",126.885731,37.49219
"가마산로26길 5","로제리움2차","구로구","구로동",126.8909761,37.49596874,625.743818070449,"서울특별시 구로구 구로동 329-51 고대구로병원어린이집",126.885731,37.49219
"가마산로27길 11","해담채3","구로구","구로동",126.8913651,37.49720229,639.182473295205,"서울특별시 영등포구 대림동 782-3 명지춘혜병원",126.8971012,37.5007036
"가마산로27길 24","순영웰라이빌1차","구로구","구로동",126.8915489,37.49805996,571.889869505523,"서울특별시 영등포구 대림동 782-3 명지춘혜병원",126.8971012,37.5007036
"가마산로27길 66","아스타 빌","구로구","구로동",126.8901565,37.49961197,447.063554269071,"서울특별시 구로구 구로동 552-148 제중요양병원",126.8867502,37.5025828
"가마산로50길 27","대성유니드","영등포구","신길동",126.902839,37.50135508,511.894114675516,"서울특별시 영등포구 대림동 782-3 명지춘혜병원",126.8971012,37.5007036
"가마산로79길 19","신길동자이","영등포구","신길동",126.916861,37.50611776,813.138826325157,"서울특별시 영등포구 신길동 451-2 성애병원",126.9223932,37.5119571
"가마산로79길 7","삼성래미안","영등포구","신길동",126.9160263,37.50514886,943.664468753561,"서울특별시 영등포구 신길동 451-2 성애병원",126.9223932,37.5119571
"가산로 106","주상복합두산","금천구","가산동",126.893612,37.47539304,394.709442986606,"서울특별시 구로구 가리봉동 137-8 정성요양병원",126.8938691,37.4789329
"가산로 147","가산지웰에스테이트","금천구","가산동",126.8905896,37.47835784,296.702273059756,"서울특별시 구로구 가리봉동 137-8 정성요양병원",126.8938691,37.4789329
"가산로 99","두산","금천구","가산동",126.8936119,37.47461382,400.506513857908,"서울특별시 금천구 독산동 150-5 새움병원",126.8976605,37.4729951
"가재울로 45","남가좌동현대","서대문구","남가좌동",126.9214214,37.5750966,1146.91280708506,"서울특별시 서대문구 연희동 192-32 강북성모요양병원",126.9276689,37.5660617
"가재울로4길 46","명지플러스빌(B)","서대문구","남가좌동",126.9240424,37.57565117,1114.41819583878,"서울특별시 서대문구 연희동 192-32 강북성모요양병원",126.9276689,37.5660617
"가재울로6길 53","백련미라보","서대문구","남가좌동",126.9239021,37.57646874,1205.23584424852,"서울특별시 서대문구 연희동 192-32 강북성모요양병원",126.9276689,37.5660617
"가재울미래로 2","DMC파크뷰자이1단지","서대문구","남가좌동",126.9184223,37.57018096,935.907330145198,"서울특별시 서대문구 연희동 192-32 강북성모요양병원",126.9276689,37.5660617
"가재울미래로 2","DMC파크뷰자이2단지","서대문구","남가좌동",126.9184223,37.57018096,935.907330145198,"서울특별시 서대문구 연희동 192-32 강북성모요양병원",126.9276689,37.5660617
"가재울미래로 2","DMC파크뷰자이5단지","서대문구","남가좌동",126.9184223,37.57018096,935.907330145198,"서울특별시 서대문구 연희동 192-32 강북성모요양병원",126.9276689,37.5660617
"가재울미래로 2","DMC파크뷰자이3단지","서대문구","남가좌동",126.9184223,37.57018096,935.907330145198,"서울특별시 서대문구 연희동 192-32 강북성모요양병원",126.9276689,37.5660617
"가좌로 100","명가","서대문구","홍은동",126.9268708,37.58180684,867.793789029163,"서울특별시 서대문구 홍은동 430 동신병원",126.9367037,37.5815869
"가좌로 285","모델리안1","은평구","신사동",126.9123693,37.5937554,763.754418255304,"서울특별시 은평구 역촌동 44-28 리드힐병원",126.916442,37.5998101
"가좌로 291","다원그린","은평구","신사동",126.9118779,37.59409179,753.166991608555,"서울특별시 은평구 역촌동 44-28 리드힐병원",126.916442,37.5998101
"가좌로 295","명남더블레스(39-4)","은평구","신사동",126.9115407,37.59438855,742.376695550218,"서울특별시 은평구 역촌동 44-28 리드힐병원",126.916442,37.5998101
"가좌로 297","명남더블레스(39-19)","은평구","신사동",126.9114219,37.59448162,740.198533246014,"서울특별시 은평구 역촌동 44-28 리드힐병원",126.916442,37.5998101
"가좌로 303","회림","은평구","신사동",126.9109723,37.59483781,734.244594992625,"서울특별시 은평구 역촌동 44-28 리드힐병원",126.916442,37.5998101
"가좌로 34","홍연","서대문구","연희동",126.9320063,37.5776004,607.184717960745,"서울특별시 서대문구 홍은동 430 동신병원",126.9367037,37.5815869
"가좌로 341","미래하임(아파트)","은평구","신사동",126.9075028,37.59701516,836.202880081488,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"가좌로 342","홍익","은평구","신사동",126.9078807,37.59752818,790.85725495398,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"가좌로 344","현대2","은평구","신사동",126.9077412,37.59750517,789.556431645901,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"가좌로 345","예성그린","은평구","신사동",126.9072509,37.59714782,816.453527016642,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"가좌로 391","신사씨티","은평구","신사동",126.9042541,37.60049935,427.097388973582,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"가좌로10길 25","세종레디안","은평구","응암동",126.9167915,37.59309864,586.774016480535,"서울특별시 은평구 응암동 232-3 은평병원",126.9232968,37.594201
"가좌로12길 12","형진","은평구","신사동",126.9078849,37.59817692,722.711474128353,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"가좌로12길 15","두산위브2차","은평구","신사동",126.9075309,37.59861478,666.358484200273,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"가좌로7나길 30","우성","은평구","응암동",126.9190861,37.58378356,388.201483435238,"서울특별시 은평구 응암동 603-60 인정병원",126.916336,37.586506
"가좌로7나길 35","경남","은평구","응암동",126.9197094,37.58333403,461.776908526317,"서울특별시 은평구 응암동 603-60 인정병원",126.916336,37.586506
"갈현로 143","에덴드림","은평구","구산동",126.911028,37.61075901,296.691873948305,"서울특별시 은평구 구산동 19-8 컴퓨터병원",126.9140983,37.6096692
"갈현로 166","새천년드림","은평구","구산동",126.9115872,37.61279104,412.075735668668,"서울특별시 은평구 구산동 19-8 컴퓨터병원",126.9140983,37.6096692
"갈현로 97","만민라이프","은평구","역촌동",126.9105417,37.6066453,460.095050518415,"서울특별시 은평구 구산동 19-8 컴퓨터병원",126.9140983,37.6096692
"갈현로11길 46","경남아너스빌","은평구","구산동",126.9054251,37.60479876,65.1127730964348,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"갈현로12길 7","예승","은평구","역촌동",126.911464,37.60634943,436.509270662664,"서울특별시 은평구 구산동 19-8 컴퓨터병원",126.9140983,37.6096692
"갈현로15길 53","경향","은평구","구산동",126.9062827,37.61014714,661.709603839152,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"갈현로16길 16","우신","은평구","구산동",126.9127687,37.60794158,225.24308261919,"서울특별시 은평구 구산동 19-8 컴퓨터병원",126.9140983,37.6096692
"갈현로17길 17","브라운스톤구산","은평구","구산동",126.9095284,37.61177602,466.271457291277,"서울특별시 은평구 구산동 19-8 컴퓨터병원",126.9140983,37.6096692
"갈현로17나길 31","우공아트빌","은평구","구산동",126.9101647,37.60880363,360.023255760266,"서울특별시 은평구 구산동 19-8 컴퓨터병원",126.9140983,37.6096692
"갈현로1길 28","뉴서울(277-2)","은평구","신사동",126.9070703,37.59969546,539.384828498792,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"갈현로1길 31","신사동한신휴플러스","은평구","신사동",126.906602,37.59940971,558.267808984147,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"갈현로1길 36","은평신사두산위브","은평구","신사동",126.9063484,37.59980752,510.038258885022,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"갈현로23길 41","한솔","은평구","갈현동",126.910245,37.61854214,769.862198729226,"서울특별시 은평구 갈현동 462-52 은평연세병원",126.9174877,37.6146802
"갈현로29길 11","미미","은평구","갈현동",126.9142062,37.6194594,497.692561020395,"서울특별시 은평구 갈현동 395-1 청구성심병원",126.919588,37.6208074
"갈현로29길 30","반도하우드","은평구","갈현동",126.9129034,37.62085301,589.420301477334,"서울특별시 은평구 갈현동 395-1 청구성심병원",126.919588,37.6208074
"갈현로29길 52","메카","은평구","갈현동",126.9115029,37.62231287,732.311133366049,"서울특별시 은평구 갈현동 395-1 청구성심병원",126.919588,37.6208074
"갈현로29길 61","라이프시티","은평구","갈현동",126.9107606,37.62301156,816.083132642442,"서울특별시 은평구 갈현동 395-1 청구성심병원",126.919588,37.6208074
"갈현로29길 62","코오롱하늘채","은평구","갈현동",126.9109315,37.62305457,803.202704404736,"서울특별시 은평구 갈현동 395-1 청구성심병원",126.919588,37.6208074
"갈현로2가길 1","신아","은평구","신사동",126.911234,37.6001866,461.239603839151,"서울특별시 은평구 역촌동 44-28 리드힐병원",126.916442,37.5998101
"갈현로33길 24","갈현동현대","은평구","갈현동",126.9141359,37.62154947,487.76936403431,"서울특별시 은평구 갈현동 395-1 청구성심병원",126.919588,37.6208074
"갈현로3나길 22","역촌센트레빌","은평구","역촌동",126.9066613,37.60250845,241.096159556485,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"갈현로3나길 23","역촌센트레빌","은평구","역촌동",126.906326,37.60268905,208.010529584052,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"갈현로3다길 15","라이프씨티","은평구","신사동",126.905692,37.60191185,268.852052023334,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"갈현로45길 57","갈현건영","은평구","갈현동",126.9137956,37.62921895,627.300202587742,"서울특별시 은평구 갈현동 390-19 은평 요양 병원(C동)",126.919781,37.6261721
"갈현로4길 26","신사성원","은평구","신사동",126.9130331,37.60116576,336.402902998761,"서울특별시 은평구 역촌동 44-28 리드힐병원",126.916442,37.5998101
"갈현로7길 56","구산그린빌","은평구","구산동",126.9045592,37.60505014,97.6480112407968,"서울특별시 은평구 역촌동 산31-1 서울서북병원",126.9050867,37.6042789
"강남대로 224","양재한신휴플러스","서초구","양재동",127.0350688,37.48395023,281.067552579126,"서울특별시 강남구 도곡동 914-2 강남베드로병원",127.0378101,37.4852321
"강남대로 240","SK허브프리모","강남구","도곡동",127.0343017,37.48514511,310.059472893507,"서울특별시 강남구 도곡동 914-2 강남베드로병원",127.0378101,37.4852321
"강남대로 256","대우디오빌","강남구","도곡동",127.0334945,37.48641267,403.225158448017,"서울특별시 강남구 도곡동 914-2 강남베드로병원",127.0378101,37.4852321
"강남대로 321","서초동대우디오빌프라임","서초구","서초동",127.0302352,37.49166683,980.192490529123,"서울특별시 강남구 도곡동 914-2 강남베드로병원",127.0378101,37.4852321
"강남대로 324","역삼디오슈페리움","강남구","역삼동",127.0308219,37.49209557,982.224854256538,"서울특별시 강남구 도곡동 914-2 강남베드로병원",127.0378101,37.4852321
"강남대로 455","강남태영데시앙루브","서초구","서초동",127.0246463,37.50278209,496.682506282933,"서울특별시 서초구 반포동 736-9 고도일 병원",127.0226847,37.5069637
"강남대로112길 41","거평프리젠","강남구","논현동",127.0276743,37.50624018,447.921713479411,"서울특별시 서초구 반포동 736-9 고도일 병원",127.0226847,37.5069637
"강남대로132길 26","힐타워","강남구","논현동",127.0231113,37.51255905,111.29575093017,"서울특별시 강남구 논현동 55-3 민병원강남타워",127.0243018,37.5122307
"강남대로136길 40","지고하임(102동)","강남구","논현동",127.0236186,37.51378155,182.876544792911,"서울특별시 강남구 논현동 55-3 민병원강남타워",127.0243018,37.5122307
"강남대로146길 28","신동아(22)","강남구","논현동",127.0224645,37.51514717,318.878060190228,"서울특별시 강남구 논현동 5-6 아이디병원",127.0241923,37.5176626
"강남대로162길 41","Ruden House","강남구","신사동",127.0215983,37.52094045,430.812244644776,"서울특별시 강남구 논현동 5-6 아이디병원",127.0241923,37.5176626
"강남대로16길 22","서초","서초구","양재동",127.0401709,37.47088651,1008.93041494664,"서울특별시 서초구 양재동 20-7 참포도나무병원",127.0386712,37.4798714
"강남대로27길 7","(66-3)","서초구","양재동",127.0378701,37.47891997,127.380464753528,"서울특별시 서초구 양재동 20-7 참포도나무병원",127.0386712,37.4798714
"강남대로2길 24","마로니에","서초구","양재동",127.0436432,37.46674045,1526.30538313047,"서울특별시 서초구 양재동 20-7 참포도나무병원",127.0386712,37.4798714
"강남대로2길 38","동원","서초구","양재동",127.0442314,37.46716058,1497.80555046585,"서울특별시 서초구 양재동 20-7 참포도나무병원",127.0386712,37.4798714
"강남대로39길 5","두산위브(1362)","서초구","서초동",127.0326227,37.48625895,472.25898505534,"서울특별시 강남구 도곡동 914-2 강남베드로병원",127.0378101,37.4852321
"강남대로45길 16","서초아파트","서초구","서초동",127.0310903,37.48826286,682.75275118169,"서울특별시 강남구 도곡동 914-2 강남베드로병원",127.0378101,37.4852321
"강남대로48길 24","조이너스 도곡","강남구","도곡동",127.0350569,37.48712084,321.482108038158,"서울특별시 강남구 도곡동 914-2 강남베드로병원",127.0378101,37.4852321
"강남대로53길 11","서초동삼성쉐르빌2","서초구","서초동",127.0278512,37.49411452,818.729515470641,"서울특별시 강남구 도곡동 542 모커리한방병원",127.0186328,37.494888
"강남대로61길 17","밀라텔쉐르빌","서초구","서초동",127.0249116,37.49872774,700.155737957972,"서울특별시 강남구 도곡동 542 모커리한방병원",127.0186328,37.494888
"강남대로6길 126","선경에버빌","서초구","양재동",127.0463135,37.47058622,1234.59016729884,"서울특별시 서초구 양재동 20-7 참포도나무병원",127.0386712,37.4798714
"강남대로6길 148","파크뷰","서초구","양재동",127.0473284,37.47099334,1249.674272726,"서울특별시 서초구 양재동 20-7 참포도나무병원",127.0386712,37.4798714
"강남대로84길 33","대우디오빌플러스","강남구","역삼동",127.0312139,37.49728286,777.909287026623,"서울특별시 강남구 역삼동 718-35 한서병원",127.0391661,37.5002878
"강남대로8길 64","다원","서초구","양재동",127.0439147,37.46946364,1247.76377086048,"서울특별시 서초구 양재동 20-7 참포도나무병원",127.0386712,37.4798714
"강남대로99길 28","새서울맨션","서초구","잠원동",127.018035,37.51506606,482.888545178264,"서울특별시 서초구 잠원동 38-25 기린한방병원",127.0200781,37.5110423
"강동대로 143","삼성파크타워","강동구","성내동",127.1231716,37.52656366,251.696676846397,"서울특별시 강동구 성내동 551-3 인애가한방병원",127.1229842,37.5288198
"강동대로 143","신호빌라트","강동구","성내동",127.1231716,37.52656366,251.696676846397,"서울특별시 강동구 성내동 551-3 인애가한방병원",127.1229842,37.5288198
"강동대로 74","삼용","송파구","풍납동",127.1153486,37.52618039,620.644640185251,"서울특별시 송파구 풍납동 388-1 서울아산병원",127.108381,37.526922
"강동대로53길 21","광남벨라스타워","강동구","성내동",127.1316093,37.52382382,581.173292564085,"서울특별시 강동구 성내동 548-5 채원자연통합병원빌딩",127.1271239,37.5276451
"강변역로4길 56","광진해모로리버뷰","광진구","구의동",127.0922587,37.53338193,551.289089206721,"서울특별시 광진구 자양동 685 편안한요양병원",127.086441,37.5315816
"강서로 130","한솔스위트벨리","강서구","화곡동",126.8426578,37.5387982,361.508625037709,"서울특별시 강서구 화곡동 105-68 더와이즈황병원",126.8428801,37.5420409
"강서로 266","우장산아이파크,이편한세상","강서구","화곡동",126.83659,37.54937841,318.401479083187,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로 348","우장산힐스테이트","강서구","내발산동",126.837984,37.55658669,180.883829253044,"서울특별시 강서구 마곡동 808 이화의대부속서울병원",126.8364898,37.557699
"강서로 490","일신건영휴먼빌","강서구","가양동",126.8416101,37.56904518,1100.10073969718,"서울특별시 강서구 등촌동 671 강서힘찬병원",126.840646,37.5591924
"강서로 532","동신대아","강서구","가양동",126.8427143,37.57265934,1510.20078857721,"서울특별시 강서구 등촌동 671 강서힘찬병원",126.840646,37.5591924
"강서로10길 143","계명(849-7)","강서구","화곡동",126.8557657,37.53101428,472.740950599798,"서울특별시 강서구 화곡동 786-6 새미래요양병원",126.8608475,37.5296751
"강서로12길 8","근상프리즘(342-35)","강서구","화곡동",126.8476716,37.53137172,850.267261903223,"서울특별시 양천구 신정동 942-12 양천효병원",126.8510942,37.5242322
"강서로17가길 16","계명(350-33)","강서구","화곡동",126.8445009,37.53372267,797.129560261288,"서울특별시 강서구 화곡동 377-8 나누리강서병원",126.8366869,37.5373118
"강서로17가길 46","중앙화곡하이츠","강서구","화곡동",126.8437329,37.5349059,677.183702305282,"서울특별시 강서구 화곡동 377-8 나누리강서병원",126.8366869,37.5373118
"강서로17라길 3","화곡동복지","강서구","화곡동",126.8407185,37.5325865,635.098694815183,"서울특별시 강서구 화곡동 377-8 나누리강서병원",126.8366869,37.5373118
"강서로29길 34","대한아파트","강서구","화곡동",126.8399509,37.53920201,356.77087766543,"서울특별시 강서구 화곡동 377-8 나누리강서병원",126.8366869,37.5373118
"강서로33가길 86","프라임팰리스(1024-23)","강서구","화곡동",126.8362744,37.54503961,671.845006500886,"서울특별시 강서구 화곡동 105-68 더와이즈황병원",126.8428801,37.5420409
"강서로37길 78","수산동우","강서구","화곡동",126.8331447,37.54347831,754.3044705231,"서울특별시 강서구 화곡동 377-8 나누리강서병원",126.8366869,37.5373118
"강서로43길 17","신일골드빌","강서구","화곡동",126.8352188,37.5469359,586.944642386365,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로43길 28","타워빌","강서구","화곡동",126.8346096,37.54718889,567.056374407771,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로45길 104","유니드","강서구","내발산동",126.8319537,37.54990405,429.324338985065,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로45길 138","태승훼미리3차","강서구","내발산동",126.8312254,37.55130641,422.08713629171,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로45길 18","태승훼미리","강서구","내발산동",126.8351483,37.54820502,447.437664439592,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로45나길 11","다울아크로빌","강서구","내발산동",126.8346556,37.54858361,414.912167171768,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로45나길 15","수산오성","강서구","내발산동",126.8354669,37.54870518,388.795065550261,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로45다길 12","신세계아파트1","강서구","화곡동",126.8345387,37.54749327,535.229949403984,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로45다길 30","초록","강서구","화곡동",126.8348037,37.5466552,622.566715443418,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로45다길 30","희훈리치파크","강서구","화곡동",126.8348037,37.5466552,622.566715443418,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로45다길 45","우림루미아트아파트","강서구","화곡동",126.8350926,37.54588263,704.720940406222,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로45라길 15","광성금강","강서구","내발산동",126.8337748,37.54861538,438.354813500654,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로46길 60","청솔숲속마을 101동","강서구","내발산동",126.8394149,37.55132267,326.441883330305,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로46길 78","청솔숲속마을 102동","강서구","내발산동",126.8399076,37.55196376,338.512275149197,"서울특별시 강서구 내발산동 677 웰튼병원",126.8370486,37.553991
"강서로46길 79","길성그랑프리텔","강서구","내발산동",126.8397261,37.55220016,309.158297192753,"서울특별시 강서구 내발산동 677 웰튼병원",126.8370486,37.553991
"강서로47길 108","마곡수명산파크1단지","강서구","내발산동",126.8301947,37.553502,522.685606227594,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로47길 158","마곡수명산파크2단지","강서구","내발산동",126.8273743,37.55378514,771.442441510387,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로47길 39","상산노블레스빌","강서구","내발산동",126.8339435,37.55276114,182.523417344971,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로47길 61","신세계","강서구","내발산동",126.8329793,37.55254773,259.083992557146,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로47길 80","보람","강서구","내발산동",126.8317307,37.55314661,381.474637628859,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로47나길 39","낙원연립재건축조합아파트","강서구","내발산동",126.834789,37.55096899,165.818469397572,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
"강서로47다길 10","신세계(697-5)","강서구","내발산동",126.8341532,37.55236827,153.670968674169,"서울특별시 강서구 내발산동 701-4 의)성삼의료재단미즈메디병원",126.8358786,37.5521825
