연번,역명,호선,구,동,상세주소,lon,lat
144,서대문,5,종로구,평동,서울특별시 종로구 평동 210 서대문역,126.9669625,37.5661698
145,광화문(세종문화회관),5,종로구,세종로,서울특별시 종로구 세종로 1-90 광화문역,126.976177,37.5696765
146,종로3가(탑골공원),5,종로구,낙원동,서울특별시 종로구 낙원동 126 종로3가역(5호선),126.992018,37.571484
147,을지로4가,5,중구,을지로4가,서울특별시 중구 을지로4가 192 을지로4가역(5호선),126.997631,37.56662
148,동대문역사문화공원,5,중구,광희동1가,서울특별시 중구 광희동1가 235-6 동대문역사문화공원역(5호선),127.007783,37.565111
149,청구,5,중구,신당동,"서울특별시 중구 신당동 295-2 청구역(5, 6호선)",127.0131005,37.5591145
150,신금호,5,성동구,금호동2가,서울특별시 성동구 금호동2가 223-1 신금호역,127.0200681,37.5542241
151,행당,5,성동구,행당동,서울특별시 성동구 행당동 317-241 행당역,127.029654,37.55741
152,왕십리(성동구청),5,성동구,행당동,서울특별시 성동구 행당동 192 왕십리역(5호선),127.0372276,37.5622586
153,마장,5,성동구,마장동,서울특별시 성동구 마장동 772 마장역,127.0429223,37.5660505
154,답십리,5,성동구,용답동,서울특별시 성동구 용답동 99 답십리역,127.0526017,37.5668422
155,장한평,5,동대문구,장안동,서울특별시 동대문구 장안동 472-3 장한평역,127.064657,37.561472
156,군자(능동),5,광진구,능동,"서울특별시 광진구 능동 275-5 군자역(5, 7호선)",127.079719,37.5569984
157,아차산(어린이대공원후문),5,광진구,능동,서울특별시 광진구 능동 256-16 아차산역,127.0889706,37.5528109
158,광나루(장신대),5,광진구,광장동,서울특별시 광진구 광장동 237 광나루역,127.1036523,37.5454285
159,천호(풍납토성),5,강동구,천호동,"서울특별시 강동구 천호동 455 천호역(5, 8호선)",127.1234213,37.5385777
160,강동,5,강동구,천호동,서울특별시 강동구 천호동 447 강동역,127.1340676,37.5356924
161,길동,5,강동구,길동,서울특별시 강동구 길동 378 길동역,127.1402046,37.5383746
162,굽은다리(강동구민회관앞),5,강동구,명일동,서울특별시 강동구 명일동 345-12 굽은다리역,127.14283,37.54619
163,명일,5,강동구,명일동,서울특별시 강동구 명일동 312 명일역,127.1428921,37.5510151
164,고덕,5,강동구,고덕동,서울특별시 강동구 고덕동 310 고덕역,127.1538766,37.5556248
165,상일동,5,강동구,상일동,서울특별시 강동구 상일동 148 상일동역,127.1568023,37.5528183
166,둔촌동,5,강동구,둔촌동,서울특별시 강동구 둔촌동 416 둔촌동역,127.136248,37.527664
167,올림픽공원(한국체대),5,송파구,방이동,서울특별시 송파구 방이동 89-28 올림픽공원역,127.13109,37.516628
168,방이,5,송파구,방이동,서울특별시 송파구 방이동 217-2 방이역,127.1256705,37.50828
169,오금,5,송파구,오금동,서울특별시 송파구 오금동 44-2 오금역,127.1263422,37.5032462
170,개롱,5,송파구,오금동,서울특별시 송파구 오금동 165-2 개롱역,127.1346598,37.4981619
171,거여,5,송파구,거여동,서울특별시 송파구 거여동 20-14 거여역,127.143597,37.493422
172,마천,5,송파구,마천동,서울특별시 송파구 마천동 307-4 마천역,127.152806,37.495027
173,응암,6,은평구,역촌동,서울특별시 은평구 역촌동 85-41 응암역,126.9155626,37.5986299
174,역촌,6,은평구,녹번동,서울특별시 은평구 녹번동 144-69 역촌역,126.9229527,37.6059994
175,불광,6,은평구,대조동,서울특별시 은평구 대조동 14-1 불광역(6호선),126.9298435,37.6105025
176,독바위,6,은평구,불광동,서울특별시 은평구 불광동 13-33 독바위역,126.933056,37.618397
177,연신내,6,은평구,갈현동,서울특별시 은평구 갈현동 397 연신내역,126.9211376,37.6191237
178,구산,6,은평구,구산동,서울특별시 은평구 구산동 1 구산역,126.9169368,37.6111396
179,새절(신사),6,은평구,신사동,서울특별시 은평구 신사동 337-5 새절역,126.9132724,37.5910797
180,증산(명지대앞),6,은평구,증산동,서울특별시 은평구 증산동 199-8 증산역,126.9092563,37.5836921
181,디지털미디어시티,6,은평구,수색동,서울특별시 은평구 수색동 37-36 디지털미디어시티역,126.9004205,37.5779636
182,월드컵경기장(성산),6,마포구,성산동,서울특별시 마포구 성산동 420 월드컵경기장역,126.899058,37.569656
183,마포구청,6,마포구,성산동,서울특별시 마포구 성산동 592 마포구청역,126.9041008,37.5626638
184,망원,6,마포구,망원동,서울특별시 마포구 망원동 378 망원역,126.909907,37.5557572
185,합정,6,마포구,합정동,서울특별시 마포구 합정동 414 합정역(6호선),126.9134767,37.5489656
186,상수,6,마포구,상수동,서울특별시 마포구 상수동 309-10 상수역,126.9226203,37.5466338
187,광흥창(서강),6,마포구,창전동,서울특별시 마포구 창전동 145-17 광흥창역,126.9319256,37.5474463
188,대흥(서강대앞),6,마포구,대흥동,서울특별시 마포구 대흥동 128-1 대흥역,126.942332,37.547674
189,공덕,6,마포구,공덕동,"서울특별시 마포구 공덕동 423-29 공덕역(5, 6호선)",126.9574361,37.5474824
190,효창공원앞,6,용산구,효창동,서울특별시 용산구 효창동 80 효창공원앞역,126.961356,37.539298
191,삼각지,6,용산구,한강로1가,서울특별시 용산구 한강로1가 228-1 삼각지역(6호선),126.9734515,37.5350315
192,녹사평(용산구청),6,용산구,용산동,서울특별시 용산구 용산동 4가 4 녹사평역,126.9870163,37.5347919
193,이태원,6,용산구,이태원동,서울특별시 용산구 이태원동 119-23 이태원역,126.9946564,37.5345103
194,한강진,6,용산구,한남동,서울특별시 용산구 한남동 726-494 한강진역,127.00199,37.54072
195,버티고개,6,중구,신당동,서울특별시 중구 신당동 366-454 버티고개역,127.0071227,37.5478919
196,약수,6,중구,신당동,서울특별시 중구 신당동 369-2 약수역(6호선),127.011639,37.553241
197,청구,6,중구,신당동,"서울특별시 중구 신당동 295-2 청구역(5, 6호선)",127.0131005,37.5591145
198,신당,6,중구,흥인동,서울특별시 중구 흥인동 162-1 신당역(6호선),127.0161118,37.567534
199,동묘앞,6,종로구,창신동,서울특별시 종로구 창신동 263-2 동묘앞역(6호선),127.016008,37.572729
200,창신,6,종로구,창신동,서울특별시 종로구 창신동 20-8 창신역,127.0146945,37.5795663
201,보문,6,성북구,보문동,서울특별시 성북구 보문동 1가 127-1 보문역,127.0201782,37.5855633
202,안암(고대병원앞),6,성북구,안암동5가,서울특별시 성북구 안암동5가 146-1 안암역,127.0293623,37.586051
203,고려대(종암),6,성북구,종암동,서울특별시 성북구 종암동 29-18 고려대역,127.035877,37.59041
204,월곡(동덕여대),6,성북구,하월곡동,서울특별시 성북구 하월곡동 35-1 월곡역,127.04132,37.601313
205,상월곡(한국과학기술연구원),6,성북구,상월곡동,서울특별시 성북구 상월곡동 26-1 상월곡역,127.0483129,37.6062263
206,돌곶이,6,성북구,석관동,서울특별시 성북구 석관동 349-8 돌곶이역,127.05675,37.61054
207,석계,6,노원구,월계동,서울특별시 노원구 월계동 25-2 석계역,127.0669139,37.615123
208,태릉입구,6,노원구,공릉동,"서울특별시 노원구 공릉동 616-4 태릉입구역(6, 7호선)",127.0749108,37.6172617
209,화랑대(서울여대입구),6,노원구,공릉동,서울특별시 노원구 공릉동 285-2 화랑대역,127.0843884,37.6201696
210,봉화산(서울의료원),6,중랑구,신내동,서울특별시 중랑구 신내동 643-1 봉화산역,127.0932784,37.6164431
211,장암,7,경기도 의정부시,장암동,경기도 의정부시 장암동 160-8 장암역,127.0530973,37.6998254
212,도봉산,7,도봉구,도봉동,서울특별시 도봉구 도봉동 38-3 도봉산역,127.0465149,37.6892434
213,수락산,7,노원구,상계동,서울특별시 노원구 상계동 1132-9 수락산역,127.0553068,37.6771548
214,마들,7,노원구,상계동,서울특별시 노원구 상계동 650 마들역,127.0569843,37.6675895
215,노원,7,노원구,상계동,서울특별시 노원구 상계동 729-0 노원역(7호선),127.061695,37.65435
216,중계,7,노원구,중계동,서울특별시 노원구 중계동 503-3 중계역,127.0652144,37.6425631
217,하계,7,노원구,하계동,서울특별시 노원구 하계동 273-5 하계역,127.0685438,37.6351911
218,공릉(서울과학기술대),7,노원구,공릉동,서울특별시 노원구 공릉동 385-4 공릉역,127.0728393,37.6258623
219,태릉입구,7,노원구,공릉동,"서울특별시 노원구 공릉동 616-4 태릉입구역(6, 7호선)",127.0749108,37.6172617
220,먹골,7,중랑구,묵동,서울특별시 중랑구 묵동 189-5 먹골역,127.077707,37.61078
221,중화,7,중랑구,중화동,서울특별시 중랑구 중화동 50-3 중화역,127.079416,37.601757
222,상봉(시외버스터미널),7,중랑구,상봉동,서울특별시 중랑구 상봉동 160-7 상봉역,127.0843699,37.5959947
223,면목,7,중랑구,면목동,서울특별시 중랑구 면목동 282-6 면목역,127.0873411,37.5891527
224,사가정,7,중랑구,면목동,서울특별시 중랑구 면목동 495 사가정역,127.0843345,37.5817877
225,용마산,7,중랑구,면목동,서울특별시 중랑구 면목동 1382-13 용마산역,127.086818,37.573793
226,중곡,7,광진구,중곡동,서울특별시 광진구 중곡동 273-2 중곡역,127.084086,37.565535
227,군자(능동),7,광진구,능동,"서울특별시 광진구 능동 275-5 군자역(5, 7호선)",127.079719,37.5569984
228,어린이대공원(세종대),7,광진구,화양동,서울특별시 광진구 화양동 164-1 어린이대공원역,127.0739401,37.5471129
229,건대입구,7,광진구,화양동,서울특별시 광진구 화양동 6-3 건대입구역(7호선),127.069253,37.540397
230,뚝섬유원지,7,광진구,자양동,서울특별시 광진구 자양동 73-2 뚝섬유원지역,127.0668458,37.5321213
231,청담,7,강남구,청담동,서울특별시 강남구 청담동 77-76 청담역,127.0520336,37.5191066
232,강남구청,7,강남구,삼성동,서울특별시 강남구 삼성동 111-44 강남구청역,127.041273,37.5171837
233,학동,7,강남구,논현동,서울특별시 강남구 논현동 279-67 학동역,127.0216392,37.5111584
234,논현,7,강남구,논현동,서울특별시 강남구 논현동 280 논현역,127.0218222,37.5103093
235,반포,7,서초구,잠원동,서울특별시 서초구 잠원동 103 반포역,127.01151,37.50796
236,고속터미널,7,서초구,반포동,서울특별시 서초구 반포동 19-11 고속터미널역(7호선),127.0049151,37.5049142
237,내방,7,서초구,방배동,서울특별시 서초구 방배동 874-16 내방역,126.99286,37.48763
238,이수,7,동작구,사당동,서울특별시 동작구 사당동 144-4 이수역,126.980963,37.4849508
239,남성,7,동작구,사당동,서울특별시 동작구 사당동 산 25-33 남성역,126.970673,37.484876
240,숭실대입구(살피재),7,동작구,상도동,서울특별시 동작구 상도동 514 숭실대입구역,126.9540341,37.4957957
241,상도,7,동작구,상도1동,서울특별시 동작구 상도1동 702-1 상도역,126.9476764,37.5028025
242,장승배기,7,동작구,상도동,서울특별시 동작구 상도동 26-20 장승배기역,126.9385948,37.5045422
243,신대방삼거리,7,동작구,대방동,서울특별시 동작구 대방동 406-10 신대방삼거리역,126.9282262,37.4996812
244,보라매,7,동작구,대방동,서울특별시 동작구 대방동 466-51 보라매역,126.9205715,37.4998737
245,신풍,7,영등포구,신길동,서울특별시 영등포구 신길동 3599 신풍역,126.9094236,37.5002786
246,대림(구로구청),7,구로구,대림동,서울특별시 구로구 대림동 1050-17 대림역(7호선),126.8966027,37.4927052
247,남구로,7,구로구,구로동,서울특별시 구로구 구로동 801-95 남구로역,126.8872862,37.4851265
248,가산디지털단지,7,금천구,가산동,서울특별시 금천구 가산동 54-3 가산디지털단지역,126.883016,37.481128
249,철산,7,광명시,철산동,경기도 광명시 철산동 526 철산역,126.8679003,37.4760554
250,광명사거리,7,광명시,광명동,경기도 광명시 광명동 158-211 광명사거리역,126.8547139,37.4792784
251,천왕,7,구로구,오류동,서울특별시 구로구 오류동 174-6 천왕역,126.838681,37.486686
252,온수(성공회대입구),7,구로구,온수동,서울특별시 구로구 온수동 53-1 온수역(7호선),126.823042,37.492097
253,까치울,7,부천시,원미구 춘의동,경기도 부천시 원미구 춘의동 3-1 까치울역,126.8011495,37.5060988
254,부천종합운동장,7,부천시,원미구 춘의동,경기도 부천시 원미구 춘의동 15-1 부천종합운동장역,126.797498,37.505452
255,춘의,7,부천시,원미구 춘의동,경기도 부천시 원미구 춘의동 145 춘의역,126.787095,37.503722
256,신중동,7,부천시,원미구 중동,경기도 부천시 원미구 중동 1140-6 신중동역,126.7762146,37.501902
257,부천시청,7,부천시,원미구 중동,경기도 부천시 원미구 중동 1243 부천시청역,126.7640261,37.5045826
258,상동,7,부천시,원미구 상동,경기도 부천시 원미구 상동 633 상동역,126.753163,37.505814
259,삼산체육관,7,부평구,삼산동,인천광역시 부평구 삼산동 466 삼산체육관역,126.7368787,37.5068138
260,굴포천,7,부평구,삼산동,인천광역시 부평구 삼산동 466 굴포천역,126.733071,37.507079
261,부평구청,7,부평구,갈산동,인천광역시 부평구 갈산동 193-45 부평구청역,126.721247,37.50745
262,암사,8,강동구,암사동,서울특별시 강동구 암사동 501 암사역,127.1281759,37.5511435
263,천호(풍납토성),8,강동구,천호동,"서울특별시 강동구 천호동 455 천호역(5, 8호선)",127.1234213,37.5385777
264,강동구청,8,강동구,성내동,서울특별시 강동구 성내동 319 강동구청역,127.1205399,37.5304447
265,몽촌토성(평화의문),8,송파구,신천동,서울특별시 송파구 신천동 19 몽촌토성역,127.113083,37.518545
266,잠실(송파구청),8,송파구,잠실동,서울특별시 송파구 잠실동 7-4 잠실역(8호선),127.1042019,37.5149545
267,석촌,8,송파구,석촌동,서울특별시 송파구 석촌동 209 석촌역,127.1070689,37.5057138
268,송파,8,송파구,가락동,서울특별시 송파구 가락동 459-4 송파역,127.112201,37.499739
269,가락시장,8,송파구,가락동,"서울특별시 송파구 가락동 184-23 가락시장역(3, 8호선)",127.1182216,37.4930463
270,문정,8,송파구,문정동,서울특별시 송파구 문정동 119-4 문정역,127.1211404,37.4881176
271,장지,8,송파구,장지동,서울특별시 송파구 장지동 201-5 장지역,127.1262269,37.4785871
272,복정,8,송파구,장지동,서울특별시 송파구 장지동 596-21 복정역,127.126685,37.470375
273,산성,8,성남시,수정구 신흥동,경기도 성남시 수정구 신흥동 7-4 산성역,127.1499344,37.4564866
274,남한산성입구(성남법원?검찰청),8,성남시,수정구 단대동,경기도 성남시 수정구 단대동 96 남한산성입구역,127.159837,37.451548
275,단대오거리,8,성남시,수정구 신흥동,경기도 성남시 수정구 신흥동 2467 단대오거리역,127.156725,37.445057
276,신흥,8,성남시,수정구 신흥동,경기도 성남시 수정구 신흥동 2467 신흥역,127.1463494,37.4407489
277,수진,8,성남시,수정구 수진동,경기도 성남시 수정구 수진동 2205-1 수진역,127.1409692,37.4376051
278,모란,8,성남시,수정구 수진동,경기도 성남시 수정구 수진동 4808 모란역,127.1295588,37.4340198
