지점명,주소,전화번호
상계점,서울특별시 노원구 동일로 1641 (상계동 하이마트),02-934-6007
상도점,서울특별시 동작구 상도로 237 (상도동 (주)하이마트상도점),02-825-6700
상봉점,서울특별시 중랑구 망우로 399 (망우동 하이마트),02-2207-8881
상암월드컵점,서울특별시 마포구 월드컵북로 295 (상암동 상암동하이마트),02-375-2800
상일IC점,서울특별시 강동구 천호대로 1473  437-3(상일동),02-2135-6861
서강점,서울특별시 마포구 서강대길 3  서강빌딩 1층(신수동 서강빌딩),02-702-2700
서울역롯데마트점,서울특별시 중구 한강대로 405 (봉래동2가 경부고속철도서울민자역사),02-392-6800
석관점,서울특별시 성북구 한천로 573 (석관동 롯데하이마트석관점),02-967-9600
석촌역점,서울특별시 송파구 송파대로 421 (석촌동 롯데하이마트),02-412-6678
성내점,서울특별시 송파구 올림픽로 545 (풍납동 팬코리아볼링센타),02-484-0787
송파롯데마트점,서울특별시 송파구 중대로 80 (문정동 문정프라자),02-448-7300
수유점,서울특별시 강북구 노해로 1 (수유동 (주)하이마트),02-991-5050
스마트퀵강남점,_,0--
신길점,서울특별시 영등포구 신길로 141 (신길동),02-835-4330
신림점,서울특별시 관악구 봉천로 224  1443-37(신림동),02-886-1001
신정네거리점,서울특별시 양천구 신월로 272  신정동그린생활시설(신정동 신정동그린생활시설),02-2698-2062
쌍문점,서울특별시 도봉구 도봉로 533 (쌍문동),02-990-9888
아차산역점,서울특별시 광진구 천호대로 670  썬타워빌딩(구의동 썬-타워빌딩),02-3437-4510
압구정점,서울특별시 강남구 도산대로 173 (신사동),02-549-1500
양재AT센터전시장,서울특별시 서초구 강남대로 27 (양재동 농수산물유통공사 화훼공판장),02-2058-1736
양재점,서울특별시 서초구 강남대로 214 (양재동),02-577-0303
양재하나로,서울특별시 서초구 청계산로 10 (양재동 농협하나로클럽),02-575-3374
양평롯데마트점,서울특별시 영등포구 선유로 138 (양평동3가),02-2671-9890
영등포구청역점,서울특별시 영등포구 영등포로 115  45(당산동2가),02-2636-4545
오목교점,서울특별시 양천구 신목로 106 (목동),02-2645-0700
용두점,서울특별시 동대문구 고산자로 414  27-3(용두동 하이마트용두점),02-2249-8999
용산아이파크몰점,서울특별시 용산구 한강대로23길 55  40-999 용산아이파크몰 리빙파크 7F(한강로3가 용산역),02-6952-8949
용산점,서울특별시 용산구 원효로 208 (원효로2가),02-716-0303
월드타워점,서울특별시 송파구 올림픽로 300  롯데월드몰 3층 쇼핑몰(신천동),02-3213-3000
은평롯데몰점,서울특별시 은평구 진관2로 37 (진관동),02-6975-5222
은평점,서울특별시 은평구 은평로 148 (응암동),02-385-3861
이수롭스점,서울특별시 동작구 동작대로 119 (사당동),02-521-0935
잠실점,서울특별시 송파구 올림픽로 240 (잠실동 롯데월드),02-420-2800
장한평점,서울특별시 성동구 천호대로 394  229-6 (용답동),02-2249-8880
종암점,서울특별시 성북구 종암로 114 (종암동 하이마트종암점),02-921-3344
중계롯데마트점,서울특별시 노원구 노원로 330 (중계동 롯데마트),02-951-8949
중계점,서울특별시 노원구 덕릉로 583 (중계동 하이마트중계점),02-934-4333
창동점,서울특별시 도봉구 노해로 397 (창동 하이마트종합전자백화점),02-990-0051
창동하나로,서울특별시 도봉구 마들로11길 20 (창동 농협창동유통센타),02-902-0606
청구점,서울특별시 중구 다산로 210 (신당동),02-2254-1411
청량리롯데마트점,서울특별시 동대문구 왕산로 214 (전농동 청량리역 롯데백화점),02-968-3200
청량리롯데백화점점,서울특별시 동대문구 왕산로 214  7층(전농동 청량리역 롯데백화점),02-957-0589
홍대입구역점,서울특별시 마포구 양화로 123 (서교동),02-322-2929
화곡점,서울특별시 양천구 화곡로 99  23-5 23-5 롯데하이마트 화곡점(신월동),02-2695-3366
